EventObject_id	Name	ObjectType	Reference	ReferenceType
1105170360783	1104750505969	gopher_id	AAFB02000110	accession
1105170360784	1104750514583	gopher_id	AAFB02000111	accession
1105170360785	1104750504673	gopher_id	AAFB02000112	accession
1105170360786	1104750506007	gopher_id	AAFB02000113	accession
1105170360787	1104750515791	gopher_id	AAFB02000114	accession
1105170360788	1104750510372	gopher_id	AAFB02000115	accession
1105170360789	1104750506015	gopher_id	AAFB02000116	accession
1105170360790	1104750514603	gopher_id	AAFB02000117	accession
1105170360791	1104750511826	gopher_id	AAFB02000118	accession
1105170360792	1104750505371	gopher_id	AAFB02000119	accession
1105170360793	1104750505685	gopher_id	AAFB02000120	accession
1105170360794	1104750508022	gopher_id	AAFB02000121	accession
1105170360795	1104750511394	gopher_id	AAFB02000122	accession
1105170360796	1104750505577	gopher_id	AAFB02000123	accession
1105170360797	1104750505771	gopher_id	AAFB02000124	accession
1105170360798	1104750514861	gopher_id	AAFB02000125	accession
1105170360799	1104750508474	gopher_id	AAFB02000126	accession
1105170360800	1104750513594	gopher_id	AAFB02000127	accession
1105170360801	1104750512912	gopher_id	AAFB02000128	accession
1105170360802	1104750511508	gopher_id	AAFB02000129	accession
1105170360803	1104750506487	gopher_id	AAFB02000130	accession
1105170360804	1104750512854	gopher_id	AAFB02000131	accession
1105170360805	1104750515487	gopher_id	AAFB02000132	accession
1105170360806	1104750511992	gopher_id	AAFB02000133	accession
1105170360807	1104750506667	gopher_id	AAFB02000134	accession
1105170360808	1104750508346	gopher_id	AAFB02000135	accession
1105170360809	1104750504627	gopher_id	AAFB02000136	accession
1105170360810	1104750515871	gopher_id	AAFB02000137	accession
1105170360811	1104750506113	gopher_id	AAFB02000138	accession
1105170360812	1104750511916	gopher_id	AAFB02000139	accession
1105170360813	1104750506187	gopher_id	AAFB02000140	accession
1105170360814	1104750510378	gopher_id	AAFB02000141	accession
1105170360815	1104750513556	gopher_id	AAFB02000142	accession
1105170360816	1104750513770	gopher_id	AAFB02000143	accession
1105170360817	1104750507428	gopher_id	AAFB02000144	accession
1105170360818	1104750515307	gopher_id	AAFB02000145	accession
1105170360819	1104750515477	gopher_id	AAFB02000146	accession
1105170360820	1104750513730	gopher_id	AAFB02000147	accession
1105170360821	1104750511372	gopher_id	AAFB02000148	accession
